321|120|1314|chrome|1
919|1862|1314|chrome|1
326|105|1314|chrome|1
323|105|1314|chrome|1
87|44|1314|chrome|1
216|611|1314|chrome|1
186|94|1314|chrome|1
1233|2775|1314|chrome|1
1109|2802|1314|chrome|1
470|10|1314|chrome|1
638|23|1329|chrome|1
415|16|1329|chrome|1
475|19|1329|chrome|1
287|48|1329|chrome|1
490|22|1329|chrome|1
281|42|1329|chrome|1
480|21|1329|chrome|1
558|23|1329|chrome|1
566|15|1329|chrome|1
33|16|1329|chrome|1
485|16|1314|chrome|1
356|48|1329|chrome|1
483|8|1329|chrome|1
287|40|1329|chrome|1
284|50|1314|chrome|1
294|48|1314|chrome|1
23|18|1329|chrome|1
287|53|1314|chrome|1
197|19|1329|chrome|1
292|46|1329|chrome|1
21|19|1329|chrome|1
209|597|1314|chrome|1
188|609|1314|chrome|1
306|591|320|chrome|1
164|425|320|chrome|1
284|442|320|chrome|1
176|396|320|chrome|1
169|156|320|chrome|1
214|196|320|chrome|1
180|527|320|chrome|1
665|1119|1314|chrome|1
22|2545|1314|chrome|1
174|610|1314|chrome|1
647|141|1314|chrome|3
339|108|1314|chrome|1
845|184|1314|chrome|1
316|101|1314|chrome|1
846|3585|1349|chrome|1
449|2081|1349|chrome|1
690|554|1349|chrome|1
