194|286|1351|chrome|1
326|484|1351|chrome|1
454|549|1351|chrome|1
153|277|1351|chrome|1
252|808|1351|chrome|1
363|474|1351|chrome|1
141|1342|1351|chrome|1
278|703|1351|chrome|1
158|1302|1351|chrome|1
198|791|1351|chrome|1
157|1436|1351|chrome|1
261|963|1351|chrome|1
574|753|1351|chrome|1
920|1221|1351|chrome|1
146|1508|1351|chrome|1
156|1530|1351|chrome|1
258|157|1351|chrome|1
300|299|1351|chrome|1
287|319|1351|chrome|1
374|434|1351|chrome|1
438|446|1351|chrome|1
132|1443|1351|chrome|1
210|1232|1351|chrome|1
457|1596|1351|chrome|1
145|2207|1351|chrome|1
196|1393|1351|chrome|1
392|1026|1351|chrome|1
161|1347|1351|chrome|1
184|1264|1351|chrome|1
186|1217|1351|chrome|1
199|1171|1351|chrome|1
242|1146|1351|chrome|1
275|1083|1351|chrome|1
271|1028|1351|chrome|1
157|1442|1351|chrome|1
182|1376|1351|chrome|1
