367|206|1314|chrome|1
262|201|1314|chrome|1
186|930|1314|chrome|1
268|1024|1314|chrome|1
807|890|1314|chrome|1
881|1361|1314|chrome|1
403|208|1314|chrome|1
381|1044|1314|chrome|1
381|1044|1314|chrome|1
205|1599|1314|chrome|1
466|1931|1314|chrome|1
441|2219|1314|chrome|1
512|2323|1314|chrome|1
470|2476|1314|chrome|1
509|2564|1314|chrome|1
449|2977|1314|chrome|1
476|2213|1314|chrome|1
430|2269|1314|chrome|1
462|2659|1314|chrome|1
264|1727|1314|chrome|1
498|1365|1314|chrome|1
440|1392|1314|chrome|1
147|1831|1314|chrome|1
